"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","class weights:","drop out","feature_extraction_config.data.batch_size","feature_extraction_config.data.mask_threshold","feature_extraction_config.data.target_mpp","feature_extraction_config.data.tile_overlap","feature_extraction_config.data.tile_size","feature_extraction_config.model.feature_dim","feature_extraction_config.model.name","hidden_dim","k_folds","lr","nr_epochs","wd","epoch","final_val_HGD_auc","final_val_HGD_f1","final_val_HGD_precision","final_val_HGD_recall","final_val_LGD_auc","final_val_LGD_f1","final_val_LGD_precision","final_val_LGD_recall","final_val_NDBE_auc","final_val_NDBE_f1","final_val_NDBE_precision","final_val_NDBE_recall","final_val_accuracy","fold/convergence_epoch","fold/loss_instability","fold/val_accuracy","summary/mean_convergence_epoch","summary/mean_loss_instability","summary/mean_val_accuracy","summary/val_accuracy_variance","train_accuracy_epoch","train_accuracy_step","train_loss_epoch","train_loss_step","trainer/global_step","val_accuracy","val_loss"
"convmetrics_Pathologist_18_fold_5","finished","-","","","2025-05-05T14:07:40.000Z","44785","","1","[0.8494623899459839,0.7523809671401978,2.0256409645080566]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.8666666746139526","0.6000000238418579","0.5454545617103577","0.6666666865348816","0.741847813129425","0.5161290168762207","0.5333333611488342","0.5","0.8971428275108337","0.6666666865348816","0.692307710647583","0.6428571343421936","0.5897436141967773","20","0.22017952237451885","1","82.27814569536424","NaN","0.7152317880794702","0.20367527740011404","0.9430379867553712","1","0.26094695925712585","0.09475518018007278","23700","0.6153846383094788","0.8211989998817444"
"convmetrics_Pathologist_18_fold_4","finished","-","","","2025-05-05T14:07:30.000Z","44661","","1","[0.8359788656234741,0.7860696315765381,1.8809523582458496]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.90625","0.6000000238418579","1","0.4285714328289032","0.7105262875556946","0.7142857313156128","0.6521739363670349","0.7894737124443054","0.8106508851051331","0.692307710647583","0.692307710647583","0.692307710647583","0.692307710647583","49","0.3444764528176752","1","92.1523178807947","NaN","0.9867549668874172","0.013069602210429371","0.8670886158943176","0","0.3725699782371521","0.8978859782218933","23700","0.6666666865348816","0.9562532305717468"
"convmetrics_Pathologist_18_fold_3","finished","-","","","2025-05-05T14:07:21.000Z","44535","","1","[0.8494623899459839,0.7745097875595093,1.8809523582458496]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.8973214030265808","0.5882353186607361","0.5","0.7142857313156128","0.7142857313156128","0.6470588445663452","0.6875","0.6111111044883728","0.8742856979370117","0.7407407164573669","0.7692307829856873","0.7142857313156128","0.6666666865348816","87","0.30209500046680715","1","82.87417218543047","NaN","0.8609271523178808","0.11973159071970528","0.905063271522522","1","0.29846400022506714","0.7609618306159973","23700","0.6410256624221802","0.9105441570281982"
"convmetrics_Pathologist_18_fold_2","finished","-","","","2025-05-05T14:07:11.000Z","44412","","1","[0.8440860509872437,0.8306878209114075,1.6354166269302368]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.9639639854431152","0.5","0.3333333432674408","1","0.7774935960769653","0.6976743936538696","0.75","0.6521739363670349","0.8324176073074341","0.6399999856948853","0.7272727489471436","0.5714285969734192","0.6499999761581421","94","0.32775131155235027","0","87.2251655629139","NaN","0","0","0.9299362897872924","1","0.262513667345047","0.458233505487442","23550","0.675000011920929","0.8723306655883789"
"convmetrics_Pathologist_18_fold_1","finished","-","","","2025-05-05T14:07:00.000Z","44287","","1","[0.9515151381492616,0.6885964870452881,2.0128204822540283]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.9534050226211548","0.875","1","0.7777777910232544","0.5733333230018616","0.4000000059604645","0.30000001192092896","0.6000000238418579","0.7468671798706055","0.529411792755127","0.692307710647583","0.4285714328289032","0.550000011920929","36","0.28662404335264624","0","86.97350993377484","NaN","0.07947019867549669","0.07315468619797379","0.8662420511245728","1","0.33467021584510803","0.041945021599531174","23550","0.550000011920929","1.0573748350143433"
"convmetrics_Pathologist_17_fold_5","finished","-","","","2025-05-05T14:06:30.000Z","44169","","1","[0.7263681888580322,0.8390804529190063,2.317460298538208]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.9714285731315612","0.6666666865348816","0.800000011920929","0.5714285969734192","0.8592999577522278","0.7058823704719543","0.7894737124443054","0.6382978558540344","0.939890682697296","0.8440366983413696","0.7540983557701111","0.9583333134651184","0.7706422209739685","60","0.4864495540026943","1","74.8543046357616","NaN","0.9933774834437086","0.0065786588307530395","0.9452054500579834","1","0.20754621922969815","0.0013396107824519277","65700","0.7431192398071289","0.9450307488441468"
"convmetrics_Pathologist_17_fold_4","finished","-","","","2025-05-05T14:06:10.000Z","43818","","1","[0.733668327331543,0.8538011908531189,2.1470587253570557]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.9333333373069764","0.5","0.4545454680919647","0.5555555820465088","0.801694929599762","0.5822784900665283","0.7931034564971924","0.4600000083446502","0.8796610236167908","0.7899159789085388","0.6811594367027283","0.9399999976158142","0.6880733966827393","22","0.31891058083300006","1","82.19867549668874","NaN","0.9933774834437086","0.0065786588307530395","0.931506872177124","1","0.23229312896728516","0.1199018657207489","65700","0.7431192398071289","0.7608826756477356"
"convmetrics_Pathologist_17_fold_3","finished","-","","","2025-05-05T14:05:50.000Z","43452","","1","[0.7564767003059387,0.8066298365592957,2.28125]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.9559294581413268","0.75","0.8181818127632141","0.692307710647583","0.832608699798584","0.6849315166473389","0.7575757503509521","0.625","0.8989218473434448","0.8429751992225647","0.7846153974533081","0.9107142686843872","0.7798165082931519","32","0.4342907551432232","1","97.83443708609272","NaN","0.9933774834437086","0.0065786588307530395","0.9292237162590028","1","0.24027559161186215","0.34176546335220337","65700","0.7706422209739685","0.7504846453666687"
"convmetrics_Pathologist_17_fold_2","finished","-","","","2025-05-05T14:05:30.000Z","43099","","1","[0.6969696879386902,0.8468992114067078,2.6011905670166016]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.9384697675704956","0.7222222089767456","0.8666666746139526","0.6190476417541504","0.8815657496452332","0.75789475440979","0.782608687877655","0.7346938848495483","0.9453571438789368","0.8314606547355652","0.7551020383834839","0.925000011920929","0.7818182110786438","22","0.5456245328624827","1","97.17880794701986","NaN","0.8940397350993378","0.09473268716284376","0.929061770439148","1","0.26269716024398804","0.009404642507433891","65550","0.6727272868156433","0.8356576561927795"
"convmetrics_Pathologist_17_fold_1","finished","-","","","2025-05-05T14:05:10.000Z","42739","","1","[0.7508590817451477,0.7831541299819946,2.555555582046509]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.948888897895813","0.5333333611488342","0.800000011920929","0.4000000059604645","0.7314285635948181","0.4545454680919647","0.4838709533214569","0.4285714328289032","0.8955371975898743","0.8225806355476379","0.739130437374115","0.9272727370262146","0.6727272868156433","45","0.4170608607919972","1","96.94039735099338","NaN","0.933774834437086","0.06183939300907854","0.929061770439148","1","0.2686094641685486","0.11203932762145996","65550","0.7363636493682861","0.7300413250923157"
