model,fold,val_loss_slope,val_loss_std,val_loss_converged,val_accuracy_slope,val_accuracy_std,val_accuracy_converged
1,1,0.002875701225165149,0.010003545913574838,False,-0.0012045892802151576,0.006334176205391031,False
1,2,0.0027495723782163307,0.008774595805370688,True,0.0019198193694605896,0.010411842536163807,False
1,3,0.0019541595921371826,0.006462797653041638,True,-0.0006775816281636263,0.006085681615268691,False
1,4,0.0015830646861683343,0.004998931185646244,True,0.00011293129487469048,0.007479256225718645,False
1,5,0.0026412371433142384,0.00987252231590293,True,7.575750350952396e-05,0.0092702553422546,False
2,1,0.0020748582753267984,0.008599598908376568,True,-0.00037329811038390594,0.007146042833683555,False
2,2,0.001534834052577153,0.005822755685900147,True,8.815418590201292e-05,0.003562890773480323,True
2,3,0.0008762533014471025,0.005841275999536343,True,-6.611816810836327e-05,0.003654519871134934,True
2,4,0.0018545457811066889,0.007300523705596316,True,-4.407709295102859e-05,0.0036363601684570312,True
2,5,0.0030506954048619204,0.013180095701302876,False,-0.0005289251154119432,0.004240688242920901,True
3,1,0.004492889751087515,0.014575813340394277,False,-0.0005357478604172212,0.008976838202654354,False
3,2,0.0023887218851031465,0.007424112152566884,True,-0.0015067804943431954,0.010261983060507202,False
3,3,0.00024926192832715123,0.005126824830248873,True,-0.00023438858263417957,0.006077361106872558,False
3,4,0.0017189874793543712,0.005456308671077416,True,-0.00013393633293382745,0.0054132486161722745,False
3,5,0.0025260744672833536,0.008986478038577559,True,0.0010437726974487352,0.007474243221660776,False
4,1,0.0023097536780617585,0.007067725455224196,True,-0.0006676941206960859,0.005932193143045502,False
4,2,0.0016503337657812992,0.00948891305189214,True,-0.000564974365812332,0.006618841467973544,False
4,3,0.002986307938893653,0.014081566039939968,False,-0.00046225027604535345,0.005684900063210143,False
4,4,0.002401788668199052,0.008081685566489288,True,-0.003522403312451933,0.01220756923569324,False
4,5,0.0031120412277453077,0.010229723083975958,False,0.0013468012665257458,0.005128204822540283,False
5,1,0.0007385138309363061,0.00597095132527287,True,-0.0011164282307480073,0.00872796621734292,False
5,2,0.005623470653187112,0.016269777185558443,False,-0.0009569341486150781,0.005263137817382813,False
5,3,0.004821670055389412,0.018369718945712984,False,0.0009569384834983463,0.0052631616592407225,False
5,4,0.0010841228745200313,0.005001374596533392,True,-0.0011961731043728353,0.00882659043497463,False
5,5,0.005671159787611562,0.016809426873657763,False,-0.0016161600748698186,0.007999992370605469,False
